,dates,rank,book_name,author,genre,hour,minute
7,2019-11-25,8,아주 작은 습관의 힘,제임스 클리어,성공/삶의자세,13,20
8,2019-11-25,9,도파민형 인간,대니얼 Z. 리버먼,성공/삶의자세,13,20
9,2019-11-25,10,사피엔스,유발 하라리,인문,13,20
10,2019-11-25,11,나는 농담으로 과학을 말한다,오후,과학일반,13,20
11,2019-11-25,12,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,13,20
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,13,40
1,2019-11-25,2,부의 인문학,브라운스톤,재테크/금융/부동산,13,40
2,2019-11-25,3,90년생이 온다,임홍택,경제일반,13,40
3,2019-11-25,4,가재가 노래하는 곳,델리아 오언스,영미소설,13,40
4,2019-11-25,5,테메레르,나오미 노빅,영미소설,13,40
5,2019-11-25,6,아주 작은 반복의 힘,로버트 마우어,성공/삶의자세,13,40
6,2019-11-25,7,지금 바로 돈 버는 기술,김정환(창업다마고치),마케팅/세일즈,13,40
7,2019-11-25,8,사피엔스,유발 하라리,인문,13,40
8,2019-11-25,9,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,13,40
9,2019-11-25,10,제왕업,메이위저/zipcy,중국 소설,13,40
10,2019-11-25,11,트렌드 코리아 2020,김난도,마케팅/세일즈,13,40
11,2019-11-25,12,도파민형 인간,대니얼 Z. 리버먼,성공/삶의자세,13,40
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,14,0
1,2019-11-25,2,90년생이 온다,임홍택,경제일반,14,0
2,2019-11-25,3,일의 기쁨과 슬픔,장류진,한국소설,14,0
3,2019-11-25,4,가재가 노래하는 곳,델리아 오언스,영미소설,14,0
4,2019-11-25,5,제왕업,메이위저/zipcy,중국 소설,14,0
5,2019-11-25,6,직지,김진명,한국소설,14,0
6,2019-11-25,7,부의 인문학,브라운스톤,재테크/금융/부동산,14,0
7,2019-11-25,8,트렌드 코리아 2020,김난도,마케팅/세일즈,14,0
8,2019-11-25,9,초격차,권오현,경영일반,14,0
9,2019-11-25,10,나는 농담으로 과학을 말한다,오후,과학일반,14,0
10,2019-11-25,11,테메레르,나오미 노빅,영미소설,14,0
11,2019-11-25,12,삼체,류츠신,중국 소설,14,0
0,2019-11-25,1,가재가 노래하는 곳,델리아 오언스,영미소설,14,20
1,2019-11-25,2,해리 포터 시리즈,조앤.K.롤링,영미소설,14,20
2,2019-11-25,3,직지,김진명,한국소설,14,20
3,2019-11-25,4,제왕업,메이위저/zipcy,중국 소설,14,20
4,2019-11-25,5,일의 기쁨과 슬픔,장류진,한국소설,14,20
5,2019-11-25,6,90년생이 온다,임홍택,경제일반,14,20
6,2019-11-25,7,부자 아빠 가난한 아빠,로버트 기요사키,재테크/금융/부동산,14,20
7,2019-11-25,8,트렌드 코리아 2020,김난도,마케팅/세일즈,14,20
8,2019-11-25,9,하기 싫은 일을 하는 힘,홍주현,성공/삶의자세,14,20
9,2019-11-25,10,초격차,권오현,경영일반,14,20
10,2019-11-25,11,나는 농담으로 과학을 말한다,오후,과학일반,14,20
11,2019-11-25,12,사피엔스,유발 하라리,인문,14,20
0,2019-11-25,1,해리 포터 시리즈,조앤.K.롤링,영미소설,14,40
1,2019-11-25,2,가재가 노래하는 곳,델리아 오언스,영미소설,14,40
2,2019-11-25,3,90년생이 온다,임홍택,경제일반,14,40
